,x,y,value
0,Customer_Age,Customer_Age,1.0
1,Customer_Age,Dependent_count,-0.122
2,Customer_Age,Months_on_book,0.789
3,Customer_Age,Total_Relationship_Count,-0.011
4,Customer_Age,Months_Inactive_12_mon,0.054
5,Customer_Age,Contacts_Count_12_mon,-0.018
6,Customer_Age,Credit_Limit,0.002
7,Customer_Age,Total_Revolving_Bal,0.015
8,Customer_Age,Avg_Open_To_Buy,0.001
9,Customer_Age,Total_Amt_Chng_Q4_Q1,-0.062
10,Customer_Age,Total_Trans_Amt,-0.046
11,Customer_Age,Total_Trans_Ct,-0.067
12,Customer_Age,Total_Ct_Chng_Q4_Q1,-0.012
13,Customer_Age,Avg_Utilization_Ratio,0.007
14,Dependent_count,Customer_Age,-0.122
15,Dependent_count,Dependent_count,1.0
16,Dependent_count,Months_on_book,-0.103
17,Dependent_count,Total_Relationship_Count,-0.039
18,Dependent_count,Months_Inactive_12_mon,-0.011
19,Dependent_count,Contacts_Count_12_mon,-0.041
20,Dependent_count,Credit_Limit,0.068
21,Dependent_count,Total_Revolving_Bal,-0.003
22,Dependent_count,Avg_Open_To_Buy,0.068
23,Dependent_count,Total_Amt_Chng_Q4_Q1,-0.035
24,Dependent_count,Total_Trans_Amt,0.025
25,Dependent_count,Total_Trans_Ct,0.05
26,Dependent_count,Total_Ct_Chng_Q4_Q1,0.011
27,Dependent_count,Avg_Utilization_Ratio,-0.037
28,Months_on_book,Customer_Age,0.789
29,Months_on_book,Dependent_count,-0.103
30,Months_on_book,Months_on_book,1.0
31,Months_on_book,Total_Relationship_Count,-0.009
32,Months_on_book,Months_Inactive_12_mon,0.074
33,Months_on_book,Contacts_Count_12_mon,-0.011
34,Months_on_book,Credit_Limit,0.008
35,Months_on_book,Total_Revolving_Bal,0.009
36,Months_on_book,Avg_Open_To_Buy,0.007
37,Months_on_book,Total_Amt_Chng_Q4_Q1,-0.049
38,Months_on_book,Total_Trans_Amt,-0.039
39,Months_on_book,Total_Trans_Ct,-0.05
40,Months_on_book,Total_Ct_Chng_Q4_Q1,-0.014
41,Months_on_book,Avg_Utilization_Ratio,-0.008
42,Total_Relationship_Count,Customer_Age,-0.011
43,Total_Relationship_Count,Dependent_count,-0.039
44,Total_Relationship_Count,Months_on_book,-0.009
45,Total_Relationship_Count,Total_Relationship_Count,1.0
46,Total_Relationship_Count,Months_Inactive_12_mon,-0.004
47,Total_Relationship_Count,Contacts_Count_12_mon,0.055
48,Total_Relationship_Count,Credit_Limit,-0.071
49,Total_Relationship_Count,Total_Revolving_Bal,0.014
50,Total_Relationship_Count,Avg_Open_To_Buy,-0.073
51,Total_Relationship_Count,Total_Amt_Chng_Q4_Q1,0.05
52,Total_Relationship_Count,Total_Trans_Amt,-0.347
53,Total_Relationship_Count,Total_Trans_Ct,-0.242
54,Total_Relationship_Count,Total_Ct_Chng_Q4_Q1,0.041
55,Total_Relationship_Count,Avg_Utilization_Ratio,0.068
56,Months_Inactive_12_mon,Customer_Age,0.054
57,Months_Inactive_12_mon,Dependent_count,-0.011
58,Months_Inactive_12_mon,Months_on_book,0.074
59,Months_Inactive_12_mon,Total_Relationship_Count,-0.004
60,Months_Inactive_12_mon,Months_Inactive_12_mon,1.0
61,Months_Inactive_12_mon,Contacts_Count_12_mon,0.029
62,Months_Inactive_12_mon,Credit_Limit,-0.02
63,Months_Inactive_12_mon,Total_Revolving_Bal,-0.042
64,Months_Inactive_12_mon,Avg_Open_To_Buy,-0.017
65,Months_Inactive_12_mon,Total_Amt_Chng_Q4_Q1,-0.032
66,Months_Inactive_12_mon,Total_Trans_Amt,-0.037
67,Months_Inactive_12_mon,Total_Trans_Ct,-0.043
68,Months_Inactive_12_mon,Total_Ct_Chng_Q4_Q1,-0.039
69,Months_Inactive_12_mon,Avg_Utilization_Ratio,-0.008
70,Contacts_Count_12_mon,Customer_Age,-0.018
71,Contacts_Count_12_mon,Dependent_count,-0.041
72,Contacts_Count_12_mon,Months_on_book,-0.011
73,Contacts_Count_12_mon,Total_Relationship_Count,0.055
74,Contacts_Count_12_mon,Months_Inactive_12_mon,0.029
75,Contacts_Count_12_mon,Contacts_Count_12_mon,1.0
76,Contacts_Count_12_mon,Credit_Limit,0.021
77,Contacts_Count_12_mon,Total_Revolving_Bal,-0.054
78,Contacts_Count_12_mon,Avg_Open_To_Buy,0.026
79,Contacts_Count_12_mon,Total_Amt_Chng_Q4_Q1,-0.024
